Título,Ano,Gêneros,Nota,Votacoes,Metascore
Thor: Love and Thunder,2022,"Action, Adventure, Comedy",6.2,360849,
Beetlejuice 2,2024,"Comedy, Fantasy, Horror",,,
Mighty Morphin Power Rangers: Once & Always,2023,"Action, Adventure, Family",5.8,5135,62
The Equalizer 3,2023,"Action, Crime, Thriller",,,
Aftersun,2022,Drama,7.7,61127,95
Fifty Shades of Grey,2015,"Drama, Romance, Thriller",4.2,325735,
Book Club,2018,"Comedy, Drama, Romance",6.1,29552,
John Wick: Chapter 2,2017,"Action, Crime, Thriller",7.4,473523,75
Jesus Revolution,2023,Drama,7.2,7302,
All Quiet on the Western Front,2022,"Action, Drama, War",7.8,202216,76
The Gentlemen,2019,"Action, Comedy, Crime",7.8,359170,
CODA,2021,"Comedy, Drama, Music",8.0,145243,72
Prisoners,2013,"Crime, Drama, Mystery",8.1,743095,70
Ford v Ferrari,2019,"Action, Biography, Drama",8.1,415964,81
Whiplash,2014,"Drama, Music",8.5,900872,89
Schindler's List,1993,"Biography, Drama, History",9.0,1382254,95
Black Swan,2010,"Drama, Thriller",8.0,787178,79
Big George Foreman,2023,"Biography, Drama, Sport",6.6,846,
F9: The Fast Saga,2021,"Action, Crime, Thriller",5.2,141921,
The Expendables 4,2023,"Action, Adventure, Thriller",,,
Inglourious Basterds,2009,"Adventure, Drama, War",8.3,1487996,69
Barbarian,2022,"Horror, Mystery, Thriller",7.0,146601,78
Don't Worry Darling,2022,"Drama, Thriller",6.2,113770,
To Catch a Killer,2023,"Action, Crime, Drama",7.1,1266,
Se7en,1995,"Crime, Drama, Mystery",8.6,1693262,65
Rogue One: A Star Wars Story,2016,"Action, Adventure, Sci-Fi",7.8,656267,65
The Suicide Squad,2021,"Action, Adventure, Comedy",7.2,370131,72
The Fabelmans,2022,Drama,7.6,87208,84
Luther: The Fallen Sun,2023,"Crime, Drama, Mystery",6.4,49946,
The Northman,2022,"Action, Adventure, Drama",7.0,226889,82
Good Will Hunting,1997,"Drama, Romance",8.3,1000863,70
No Time to Die,2021,"Action, Adventure, Thriller",7.3,417500,68
80 for Brady,2023,"Comedy, Drama, Sport",5.8,6614,
Soft & Quiet,2022,"Drama, Horror, Mystery",6.2,5476,82
Star Wars: The Rise Of Skywalker,2019,"Action, Adventure, Fantasy",6.5,466277,
How to Blow Up a Pipeline,2022,"Crime, Drama, Thriller",7.2,2511,77
Avatar,2009,"Action, Adventure, Fantasy",7.9,1340179,83
The Meg 2: The Trench,2023,"Action, Adventure, Horror",,,
The Glass Castle,2017,"Biography, Drama",7.1,35791,
Hypnotic,2023,"Action, Mystery, Thriller",5.7,915,
Knives Out,2019,"Comedy, Crime, Drama",7.9,725179,82
Forrest Gump,1994,"Drama, Romance",8.8,2130977,82
Baywatch,2017,"Action, Comedy, Crime",5.5,193034,
The Grand Budapest Hotel,2014,"Adventure, Comedy, Crime",8.1,836084,88
Book Club: The Next Chapter,2023,Comedy,5.6,333,
True Lies,1994,"Action, Comedy, Thriller",7.3,268293,63
Dasara,2023,"Action, Adventure, Drama",6.9,6736,
Knock Knock,2015,"Crime, Drama, Horror",4.9,98742,
Get Out,2017,"Horror, Mystery, Thriller",7.7,638599,85
Missing,2023,"Drama, Mystery, Thriller",7.1,28491,66
Mad Max: Fury Road,2015,"Action, Adventure, Sci-Fi",8.1,1027579,90
Local Hero,1983,"Comedy, Drama",7.3,25232,82
Back to the Future,1985,"Adventure, Comedy, Sci-Fi",8.5,1235335,87
Joker: Folie à Deux,2024,"Crime, Drama, Musical",,,
Mean Girls,2004,Comedy,7.1,397864,66
The Departed,2006,"Crime, Drama, Thriller",8.5,1353147,85
Joker,2019,"Crime, Drama, Thriller",8.4,1348500,
The Hunger Games: Catching Fire,2013,"Action, Adventure, Sci-Fi",7.5,682418,76
Jurassic Park,1993,"Action, Adventure, Sci-Fi",8.2,1011699,68
Tár,2022,"Drama, Music",7.5,70872,92
Amsterdam,2022,"Comedy, Drama, History",6.1,76161,
Quasi,2023,"Comedy, Drama",5.3,1864,
The Matrix,1999,"Action, Sci-Fi",8.7,1953390,73
American Pie,1999,Comedy,7.0,416970,
BlackBerry,2023,"Biography, Comedy, Drama",7.9,872,82
The Pale Blue Eye,2022,"Crime, Horror, Mystery",6.6,104701,
The Goonies,1985,"Adventure, Comedy, Family",7.7,284274,62
Galaxy Quest,1999,"Adventure, Comedy, Sci-Fi",7.4,169179,70
Star Wars: Episode V - The Empire Strikes Back,1980,"Action, Adventure, Fantasy",8.7,1318235,82
Blonde,2022,"Biography, Drama, Romance",5.5,65655,
Troy,2004,Drama,7.3,547283,
