Título,Ano,Gêneros,Nota,Votacoes,Metascore
Spaceballs,1987,"Adventure, Comedy, Sci-Fi",7.1,197035,
Before Sunrise,1995,"Drama, Romance",8.1,319484,77
Moonfall,2022,"Action, Adventure, Sci-Fi",5.1,87531,
Children of Men,2006,"Action, Drama, Sci-Fi",7.9,510852,84
Gerald's Game,2017,"Drama, Horror, Thriller",6.5,116277,77
The Girl Next Door,2004,"Comedy, Drama, Romance",6.7,229500,
Napoleon Dynamite,2004,Comedy,6.9,227043,64
The Game,1997,"Drama, Mystery, Thriller",7.7,408317,63
Mrs. Harris Goes to Paris,2022,"Comedy, Drama",7.1,18758,70
Red Dragon,2002,"Crime, Drama, Thriller",7.2,280871,
Lady Bird,2017,"Comedy, Drama",7.4,303283,93
Decision to Leave,2022,"Crime, Drama, Mystery",7.3,41229,84
Vanilla Sky,2001,"Fantasy, Mystery, Romance",6.9,275484,
Moulin Rouge!,2001,"Drama, Musical, Romance",7.6,290944,66
The Rock,1996,"Action, Adventure, Thriller",7.4,346398,
Orphan,2009,"Horror, Mystery, Thriller",7.0,238644,
Sleepy Hollow,1999,"Fantasy, Horror, Mystery",7.3,369342,65
V for Vendetta,2005,"Action, Drama, Sci-Fi",8.2,1139131,62
Hot Fuzz,2007,"Action, Comedy, Mystery",7.8,516290,81
Indiana Jones and the Last Crusade,1989,"Action, Adventure",8.2,769541,65
Shooter,2007,"Action, Drama, Thriller",7.1,341479,
A Simple Favor,2018,"Comedy, Crime, Mystery",6.8,154453,67
Predator,1987,"Action, Adventure, Horror",7.8,433562,
Smokin' Aces,2006,"Action, Comedy, Crime",6.6,148405,
Last Voyage of the Demeter,2023,"Fantasy, Horror",,,
Under the Skin,2013,"Drama, Horror, Mystery",6.3,149001,80
Jurassic World,2015,"Action, Adventure, Sci-Fi",6.9,655851,
She's All That,1999,"Comedy, Romance",5.9,99409,
Remember the Titans,2000,"Biography, Drama, Sport",7.8,221838,
Creed,2015,"Action, Drama, Sport",7.6,295826,82
Hostiles,2017,"Drama, Western",7.2,89645,65
Transformers: Age of Extinction,2014,"Action, Adventure, Sci-Fi",5.6,320320,
Memories of Murder,2003,"Crime, Drama, Mystery",8.1,194948,82
Legally Blonde,2001,"Comedy, Romance",6.4,228624,
Train to Busan,2016,"Action, Horror, Thriller",7.6,233591,73
Stardust,2007,"Adventure, Family, Fantasy",7.6,277165,66
Doctor Sleep,2019,"Drama, Fantasy, Horror",7.3,201165,
Captain America: Civil War,2016,"Action, Sci-Fi",7.8,809403,75
The Place Beyond the Pines,2012,"Crime, Drama, Thriller",7.3,276609,68
E.T.,1982,"Adventure, Family, Sci-Fi",7.9,420039,91
Wedding Crashers,2005,"Comedy, Romance",7.0,364458,64
Suspiria,2018,"Drama, Fantasy, Horror",6.7,84085,64
Resident Evil,2002,"Action, Horror, Sci-Fi",6.6,278160,
Army of Thieves,2021,"Action, Comedy, Crime",6.4,81854,
The Bourne Identity,2002,"Action, Mystery, Thriller",7.9,557955,68
Blue Beetle,2023,"Action, Adventure, Sci-Fi",,,
Do Revenge,2022,Comedy,6.3,43442,66
Mother!,2017,"Drama, Horror, Mystery",6.6,235178,75
The Matchmaker,2023,"Drama, Mystery, Thriller",3.9,271,
The Faculty,1998,"Horror, Mystery, Sci-Fi",6.6,128322,61
Silent Hours,2021,"Crime, Thriller",5.3,1338,
A Star Is Born,2018,"Drama, Music, Romance",7.6,396755,88
Mrs Undercover,2023,"Action, Comedy",6.4,8838,
Terminator: Dark Fate,2019,"Action, Adventure, Sci-Fi",6.2,184029,
Grown Ups,2010,Comedy,5.9,260061,
Harry Potter and the Order of the Phoenix,2007,"Action, Adventure, Family",7.5,599711,71
Gattaca,1997,"Drama, Sci-Fi, Thriller",7.8,311697,64
Spider-Man 3,2007,"Action, Adventure, Sci-Fi",6.3,606255,
Gone with the Wind,1939,"Drama, Romance, War",8.2,321933,97
Speak No Evil,2022,"Drama, Horror, Thriller",6.6,26547,78
6 Underground,2019,"Action, Thriller",6.1,184751,
Elysium,2013,"Action, Drama, Sci-Fi",6.6,456866,61
Patriots Day,2016,"Action, Crime, Drama",7.3,107264,69
Triple Frontier,2019,"Action, Thriller",6.4,135555,61
Ambulance,2022,"Action, Crime, Drama",6.1,82304,
Kick-Ass,2010,"Action, Comedy, Crime",7.6,574424,66
Robin Hood: Prince of Thieves,1991,"Action, Adventure, Drama",6.9,200229,
But I'm a Cheerleader,1999,"Comedy, Drama, Romance",6.7,36054,
Godzilla x Kong: The New Empire,2024,"Action, Adventure, Sci-Fi",,,
A Little Game,2014,"Adventure, Family",6.3,697,
Boiling Point,2021,"Drama, Thriller",7.5,33378,73
Riddick,2013,"Action, Adventure, Sci-Fi",6.4,172475,
Snowpiercer,2013,"Action, Drama, Sci-Fi",7.1,371083,84
Yesterday,2019,"Comedy, Fantasy, Music",6.8,158748,
Blazing Saddles,1974,"Comedy, Western",7.7,144312,73
The Last of the Mohicans,1992,"Action, Adventure, Drama",7.7,177055,76
The Day After Tomorrow,2004,"Action, Adventure, Sci-Fi",6.4,459236,
Harry Potter and the Half-Blood Prince,2009,"Action, Adventure, Family",7.6,562794,78
Footloose,1984,"Drama, Music, Romance",6.6,85493,
Polar,2019,"Action, Thriller",6.3,93951,
300: Rise of an Empire,2014,"Action, Drama",6.2,307440,
Willy Wonka & the Chocolate Factory,1971,"Family, Fantasy, Musical",7.8,208832,67
Blade,1998,"Action, Horror, Sci-Fi",7.1,283816,
Percy Jackson & the Olympians: The Lightning Thief,2010,"Adventure, Family, Fantasy",5.8,193609,
The Road Dance,2021,Drama,7.1,650,
The Blind Side,2009,"Biography, Drama, Sport",7.6,343448,
The Lives of Others,2006,"Drama, Mystery, Thriller",8.4,396087,89
Turning Red,2022,"Animation, Adventure, Comedy",7.0,133633,83
Inherent Vice,2014,"Comedy, Crime, Drama",6.6,107330,81
The Ministry of Ungentlemanly Warfare,2024,"Drama, War",,,
Richard Jewell,2019,"Biography, Crime, Drama",7.5,92108,68
The Karate Kid,1984,"Action, Drama, Family",7.3,232554,
Countdown,2019,"Horror, Thriller",5.4,41453,
DC League of Super-Pets,2022,"Animation, Action, Adventure",7.1,68942,
Extraction 2,2023,"Action, Thriller",,,
Bumblebee,2018,"Action, Adventure, Sci-Fi",6.7,173124,66
Chinatown,1974,"Drama, Mystery, Thriller",8.2,334055,92
Step Brothers,2008,Comedy,6.9,304525,
28 Days Later,2002,"Drama, Horror, Sci-Fi",7.5,424352,73
Haunted Mansion,2023,"Comedy, Drama, Family",,,
Gaslight,2023,"Crime, Mystery, Thriller",7.4,23560,
Bholaa,2023,"Action, Adventure, Crime",7.4,16554,
Men in Black,1997,"Action, Adventure, Comedy",7.3,583170,71
Pokémon: Detective Pikachu,2019,"Action, Adventure, Comedy",6.5,171091,
The Lost Boys,1987,"Comedy, Horror",7.2,149755,63
District 9,2009,"Action, Sci-Fi, Thriller",7.9,693962,81
Avengers: The Kang Dynasty,2025,"Action, Adventure, Sci-Fi",,,
It Ends with Us,,"Drama, Romance",,,
Meet Joe Black,1998,"Drama, Fantasy, Romance",7.2,251570,
Kindergarten Cop,1990,"Action, Comedy, Crime",6.2,154999,61
Batman v Superman: Dawn of Justice,2016,"Action, Adventure, Sci-Fi",6.4,711227,
Fifty Shades Freed,2018,"Drama, Romance, Thriller",4.5,68890,
Burnt,2015,"Comedy, Drama",6.6,125583,
The House Bunny,2008,Comedy,5.5,86523,
The Worst Person in the World,2021,"Comedy, Drama, Romance",7.8,79255,90
Kong: Skull Island,2017,"Action, Adventure, Fantasy",6.6,329179,62
The Graduate,1967,"Comedy, Drama, Romance",8.0,279549,83
Amadeus,1984,"Biography, Drama, Music",8.4,409046,88
Police Academy,1984,Comedy,6.7,131164,
Sonic the Hedgehog 3,2024,"Animation, Action, Adventure",,,
Holes,2003,"Adventure, Comedy, Drama",7.0,93774,71
Perfume: The Story of a Murderer,2006,"Crime, Drama, Fantasy",7.5,257377,
Tremors,1990,"Comedy, Horror",7.1,142835,65
Life,2017,"Horror, Sci-Fi, Thriller",6.6,239172,
Lost in Translation,2003,"Comedy, Drama",7.7,466486,91
Natural Born Killers,1994,"Action, Crime, Drama",7.2,241774,74
King Kong,2005,"Action, Adventure, Drama",7.2,432675,81
Mission: Impossible III,2006,"Action, Adventure, Thriller",6.9,365660,66
Once Upon a Time in the West,1968,Western,8.5,336495,82
Up,2009,"Animation, Adventure, Comedy",8.3,1066875,88
Official Secrets,2019,"Biography, Crime, Drama",7.3,50566,63
500 Days of Summer,2009,"Comedy, Drama, Romance",7.7,529610,76
Silver Linings Playbook,2012,"Comedy, Drama, Romance",7.7,720690,81
Labyrinth,1986,"Adventure, Family, Fantasy",7.3,142619,
